Date,AAPL,AXXON,TSLA
25/07/2021,144.170517,186.020004,229.066666
01/08/2021,144.447296,192.589996,233.03334
08/08/2021,147.593781,185.139999,239.056671
15/08/2021,146.693008,186.830002,226.753326
22/08/2021,147.098846,187.009995,237.306671
29/08/2021,152.741287,184.889999,244.523331
05/09/2021,147.465118,179.809998,245.42334
12/09/2021,144.584518,172.380005,253.16333
19/09/2021,145.435822,179.75,258.130005
26/09/2021,141.208939,178.770004,258.406677
03/10/2021,141.456421,164.550003,261.829987
10/10/2021,143.376831,177.940002,281.01001
17/10/2021,147.187943,182.649994,303.226654
24/10/2021,148.286728,179.960007,371.333344
31/10/2021,149.751785,182.639999,407.363342
07/11/2021,148.691513,170.410004,344.473328
14/11/2021,159.16008,181.940002,379.019989
21/11/2021,155.452454,177.199997,360.640015
28/11/2021,160.438904,151.410004,338.323334
05/12/2021,177.896454,141.449997,339.01001
12/12/2021,169.658417,144.929993,310.856659
19/12/2021,174.753891,160.539993,355.666656
26/12/2021,176.032745,157,352.26001
02/01/2022,170.679489,145.190002,342.320007
09/01/2022,171.571686,137.169998,349.869995
16/01/2022,161.003983,132.960007,314.633331
23/01/2022,168.855408,136.070007,282.116669
30/01/2022,170.897583,142.990005,307.773346
06/02/2022,167.393051,139.589996,286.666656
13/02/2022,166.062958,128.470001,285.660004
20/02/2022,163.631073,134.139999,269.956665
27/02/2022,161.96347,138.130005,279.429993
06/03/2022,153.585892,124.660004,265.116669
13/03/2022,162.767502,134.889999,301.796661
20/03/2022,173.428085,132.690002,336.880005
27/03/2022,173.021103,139.309998,361.529999
03/04/2022,168.832321,127.82,341.829987
10/04/2022,164.06781,123.220001,328.333344
17/04/2022,160.593689,118.019997,335.016663
24/04/2022,156.484314,112.199997,290.253326
01/05/2022,156.11705,95.989998,288.549988
08/05/2022,146.236786,98.220001,256.529999
15/05/2022,136.7733,99.400002,221.300003
22/05/2022,148.751785,102.519997,253.210007
29/05/2022,144.517044,103.089996,234.516663
05/06/2022,136.31604,96.510002,232.229996
12/06/2022,130.779083,87.610001,216.759995
19/06/2022,140.819153,96.160004,245.706665
26/06/2022,138.105331,93.230003,227.263336
03/07/2022,146.167191,96.849998,250.763336
10/07/2022,149.278625,94.650002,240.066666
17/07/2022,153.175354,102.120003,272.243347
24/07/2022,161.545364,110.190002,297.149994
31/07/2022,164.36853,116.290001,288.170013
07/08/2022,171.316101,129.490005,300.029999
14/08/2022,170.738724,130.699997,296.666656
21/08/2022,162.874695,122.239998,288.089996
28/08/2022,155.100281,115.779999,270.209991
04/09/2022,156.653183,124.190002,299.679993
11/09/2022,150.013565,118.339996,303.350006
18/09/2022,149.744781,113.459999,275.329987
25/09/2022,137.57048,115.75,265.25
02/10/2022,139.451889,123.75,223.070007
09/10/2022,137.74968,119.449997,204.990005
16/10/2022,146.599197,130.600006,214.440002
23/10/2022,155.030609,142.070007,228.520004
30/10/2022,137.74968,148.660004,207.470001
06/11/2022,149.26532,182.940002,195.970001
13/11/2022,150.850693,185.220001,180.190002
20/11/2022,147.679947,187.919998,182.860001
27/11/2022,147.380814,188.830002,194.860001
04/12/2022,141.747208,168.610001,179.050003
11/12/2022,134.119431,169.339996,150.229996
18/12/2022,131.477127,168.979996,123.150002
25/12/2022,129.552719,165.929993,123.18
01/01/2023,129.243622,170.899994,113.059998
08/01/2023,134.368698,188.130005,122.400002
15/01/2023,137.469666,185.020004,133.419998
22/01/2023,145.506256,191.610001,177.899994
29/01/2023,154.051376,198.190002,189.979996
05/02/2023,150.571503,184.550003,196.889999
12/02/2023,152.339294,189.259995,208.309998
19/02/2023,146.507355,193.550003,196.880005
26/02/2023,150.821381,220.949997,197.789993
05/03/2023,148.294876,213,173.440002
12/03/2023,154.785904,213.119995,180.130005
19/03/2023,160.028656,216.580002,190.410004
26/03/2023,164.672226,224.850006,207.460007
02/04/2023,164.432556,219.710007,185.059998
09/04/2023,164.981812,223.910004,185
16/04/2023,164.792068,225.020004,165.080002
23/04/2023,169.445618,210.710007,164.309998
30/04/2023,173.330261,219.910004,170.059998
07/05/2023,172.331635,201.5,167.979996
14/05/2023,175.160004,196.860001,180.139999
21/05/2023,175.429993,189.8236,193.169998
