Date,AAPL,AXXON,TSLA
10/10/2021,354098200,1017200,244536600
17/10/2021,340691300,1499000,329948100
24/10/2021,392740000,1593700,662775600
31/10/2021,324080300,1517400,541323600
07/11/2021,281799900,1860500,549971700
14/11/2021,462419300,6213500,405913800
21/11/2021,359933200,1982200,310455900
28/11/2021,669611100,2873100,373556700
05/12/2021,569227700,3342700,298756800
12/12/2021,769299200,3271600,407779800
19/12/2021,359176900,2393200,314345400
26/12/2021,340248100,1530400,275398500
02/01/2022,481949000,4392400,458800800
09/01/2022,422655700,2449400,411751500
16/01/2022,400041100,1997800,316090500
23/01/2022,688258600,3807600,624927600
30/01/2022,458553300,1909700,396848100
06/02/2022,412902000,1982500,309755700
13/02/2022,362252300,1375300,300017100
20/02/2022,414293700,2002900,389934900
27/02/2022,418671400,2201400,377040300
06/03/2022,521334100,1849700,337762800
13/03/2022,503123700,2426000,389019300
20/03/2022,446083700,1554800,439478700
27/03/2022,465395100,2400100,339241800
03/04/2022,393099200,1897800,385920300
10/04/2022,297460200,1510500,238876500
17/04/2022,376787700,1991000,347387100
24/04/2022,541697200,1847700,494512800
01/05/2022,566928200,2330200,386556900
08/05/2022,686227300,3878900,504900300
15/05/2022,548244700,2278200,489416400
22/05/2022,495921700,1800600,465433500
29/05/2022,338923400,1323600,385029300
05/06/2022,354267700,1363100,427251600
12/06/2022,541168600,3588800,519920400
19/06/2022,315960300,2517700,423873900
26/06/2022,373549800,1740500,431527500
03/07/2022,278219600,1121300,340219500
10/07/2022,366316600,1165700,433367100
17/07/2022,360988700,1361400,497796900
24/07/2022,370548900,1457200,399040200
31/07/2022,322415000,1292600,478140600
07/08/2022,318771500,2325300,429969600
14/08/2022,322647200,1627600,355157400
21/08/2022,307194600,1683300,287481800
28/08/2022,390399000,1628600,249690900
04/09/2022,314117000,1295700,213940100
11/09/2022,568337900,2566100,341416200
18/09/2022,473543200,1927300,318723500
25/09/2022,577537000,1874600,320014100
02/10/2022,435940600,2041300,448139900
09/10/2022,424188400,2125200,397406400
16/10/2022,397216400,2085800,415404100
23/10/2022,512851100,2738400,412758400
30/10/2022,510660400,3361800,342474400
06/11/2022,461034600,4615400,596889200
13/11/2022,382679700,3419300,390472900
20/11/2022,204025500,1442000,331544400
27/11/2022,401088500,2851900,439140800
04/12/2022,341500000,3583700,471983600
11/12/2022,505728900,2506000,687706200
18/12/2022,384620400,2227000,821451300
25/12/2022,307184100,1219200,809414500
01/01/2023,369948500,1789600,790689200
08/01/2023,333335200,3162200,891852300
15/01/2023,271823400,2293400,691307300
22/01/2023,338655600,4193400,1095958300
29/01/2023,480249700,3256900,1091608900
05/02/2023,330758800,5561700,973057500
12/02/2023,316792400,2626400,1013262600
19/02/2023,213742300,2256600,660435200
26/02/2023,273994900,9831000,806720000
05/03/2023,313350800,3689800,789636400
12/03/2023,410426600,3635300,711837700
19/03/2023,350100100,2535100,693958500
26/03/2023,267939700,3736800,623640500
02/04/2023,200156300,2193700,553750100
09/04/2023,263326300,3191500,617553500
16/04/2023,249953100,3461300,668971700
23/04/2023,256274000,2987600,664901000
30/04/2023,360586400,21783800,559552100
07/05/2023,250026700,8251800,582522100
14/05/2023,258597700,4412700,574899400
21/05/2023,250314100,5393612,685195200
